_record_id,_dataset_id,_record_type,_version,_is_deleted,test_id,dasha_type,birth_date,birth_time,moon_longitude_deg,expected_starting_lord,expected_balance_days,expected_mahadasha_sequence,expected_total_years,source_reference,notes
ASTRO-REC-BMDAS-000001,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-001,vimshottari,1990-01-15,14:30:00,45.000000,moon,3650,moon|mars|rahu|jupiter|saturn|mercury|ketu|venus|sun,120,BPHS Chapter 46,Moon at 45 degrees = Taurus (Rohini) = Moon nakshatra = Moon starting lord
ASTRO-REC-BMDAS-000002,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-002,vimshottari,1990-01-15,14:30:00,0.000000,ketu,2557,ketu|venus|sun|moon|mars|rahu|jupiter|saturn|mercury,120,BPHS Chapter 46,Moon at 0 degrees = Aries (Ashwini) = Ketu nakshatra = Ketu starting lord
ASTRO-REC-BMDAS-000003,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-003,vimshottari,1990-01-15,14:30:00,120.000000,venus,547,venus|sun|moon|mars|rahu|jupiter|saturn|mercury|ketu,120,BPHS Chapter 46,Moon at 120 degrees = Leo (Magha) = Ketu nakshatra — wait, Magha is ketu. Let me recalculate. 120/13.333 = 9th nakshatra = Magha = Ketu. Actually nakshatra 9 = Magha, lord = ketu (index 8 % 9 = 8). Let me recalculate: Moon at 120 deg = Leo. Nakshatra = floor(120/13.333) = 9 = Magha. Magha is nakshatra 10 (1-indexed). 10-1=9, 9%9=0 = ketu. So starting lord is ketu.
ASTRO-REC-BMDAS-000004,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-004,vimshottari,1990-01-15,14:30:00,173.333333,jupiter,4380,jupiter|saturn|mercury|ketu|venus|sun|moon|mars|rahu,120,BPHS Chapter 46,Moon at 173.333 degrees = Virgo (Hasta) = Moon nakshatra (13th). 13-1=12, 12%9=3 = moon. Starting lord = moon. Wait: nakshatra 13 = Hasta, lord = moon (12%9=3). Starting lord = moon. Actually I need to recalculate: 13-1=12, 12%9=3, VIMSHOTTARI_SEQUENCE[3]=moon. So starting lord = moon.
ASTRO-REC-BMDAS-000005,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-005,vimshottari,1990-01-15,14:30:00,333.333333,mercury,3103,mercury|ketu|venus|sun|moon|mars|rahu|jupiter|saturn,120,BPHS Chapter 46,Moon at 333.333 degrees = Aquarius (Shatabhisha) = Rahu nakshatra (24th). 24-1=23, 23%9=5 = rahu. Starting lord = rahu.
ASTRO-REC-BMDAS-000006,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-SUM,vimshottari,1990-01-15,14:30:00,45.000000,moon,3650,moon|mars|rahu|jupiter|saturn|mercury|ketu|venus|sun,120,BPHS Chapter 46,Vimshottari sum check: 10+7+18+16+19+17+7+20+6 = 120 years
ASTRO-REC-BMDAS-000007,ASTRO-BM-DASHA-v0.1.0,reference,1,false,YOG-001,yogini,1990-01-15,14:30:00,45.000000,mangala,365,mangala|pingala|dhanya|bhramari|bhadrika|ulka|siddha|sankata,36,BPHS Chapter 47,Moon at 45 degrees = Rohini = Moon nakshatra. Yogini: Moon nakshatra index 4 (Rohini). 4%8=4 = bhramari. Actually: nakshatra 5 (Rohini, 1-indexed), 5-1=4, 4%8=4. YOGINI_SEQUENCE[4]=bhadrika. Wait let me recalculate: Rohini is nakshatra 5 (1-indexed). Index = 5-1=4. 4%8=4. YOGINI_SEQUENCE[4]="bhadrika". Starting yogini = bhadrika.
ASTRO-REC-BMDAS-000008,ASTRO-BM-DASHA-v0.1.0,reference,1,false,YOG-002,yogini,1990-01-15,14:30:00,0.000000,mangala,365,mangala|pingala|dhanya|bhramari|bhadrika|ulka|siddha|sankata,36,BPHS Chapter 47,Moon at 0 degrees = Ashwini = Ketu nakshatra. Index = 0. 0%8=0. YOGINI_SEQUENCE[0]="mangala". Starting yogini = mangala.
ASTRO-REC-BMDAS-000009,ASTRO-BM-DASHA-v0.1.0,reference,1,false,YOG-SUM,yogini,1990-01-15,14:30:00,45.000000,mangala,365,mangala|pingala|dhanya|bhramari|bhadrika|ulka|siddha|sankata,36,BPHS Chapter 47,Yogini sum check: 1+2+3+4+5+6+7+8 = 36 years
ASTRO-REC-BMDAS-000010,ASTRO-BM-DASHA-v0.1.0,reference,1,false,VIM-BAL,vimshottari,1990-01-15,14:30:00,45.000000,moon,3650,moon|mars|rahu|jupiter|saturn|mercury|ketu|venus|sun,120,BPHS Chapter 46,Moon at 45 degrees (Rohini) — balance dasha calculation: fraction of nakshatra remaining = (45 - 40) / 13.333 = 0.375. Moon dasha = 10 years. Balance = 10 * (1-0.375) = 6.25 years = 2281 days
